,Ticker,ESG Score
2375,POGCX,20.97
2376,FRGOX,37.8
2377,NGCCX,25.18
2378,TMDPX,22.86
2379,FMGKX,20.06
2380,BUFGX,19.61
2381,USPVX,22.77
2382,SSSFX,29.15
2383,RDCCX,23.17
2384,DHLRX,23.41
2385,AACTX,23.8
2386,QCACX,21.96
2387,HCPSX,25.71
2388,ITHRX,22.91
2389,PRGTX,21.04
2390,MTCLX,19.91
2391,NPRTX,28.59
2392,MI9T.SW,33.16
2393,AGTHX,23.63
2394,XCHIX,26.8
2395,CFSIX,21.59
2396,ABECX,20.8
2397,ULPIX,21.86
2398,JISIX,22.43
2399,RYFIX,21.12
2400,OGLYX,20.15
2401,VCGAX,21.68
2402,JGIRX,20.11
2403,CCDTX,23.45
2404,BEQGX,21.66
2405,FSDAX,36.66
2406,RLGCX,22.71
2407,CSDRX,23.27
2408,FIDKX,21.74
2409,CGICX,28.54
2410,PNVRX,27.35
2411,VCSVX,28.71
2412,FSCRX,22.94
2413,OSCYX,28.91
2414,AMGCX,23.45
2415,IVVYX,22.89
2416,MSDVX,24.87
2417,S3769.MC,22.21
2418,SAOCX,23.9
2419,VIMSX,23.16
2420,NEWCX,25.24
2421,PSSNX,28.1
2422,VGHCX,26.36
2423,ASMMX,22.57
2424,DSEFX,20.44
2425,PMVBX,21.86
2426,ACVUX,22.38
2427,AFIFX,23.39
2428,TRWAX,22.82
2429,PABGX,21.51
2430,DHSIX,29.95
2431,NWHOX,20.7
2432,WFQYX,24.52
2433,S1257.MC,21.54
2434,JNBAX,24.99
2435,S3465.MC,22.95
2436,VGICX,23.27
2437,FFFHX,23.39
2438,BGFIX,21.74
2439,EPGAX,23.04
2440,CICCX,23.49
2441,JANBX,21.26
2442,HERYX,27.4
2443,ARDEX,23.02
2444,JVAIX,23.63
2445,SPRAX,24.35
2446,IHSSX,27.8
2447,AIVKX,22.79
2448,DFGBX,17.53
2449,S1595.MC,22.74
2450,WBIIX,20.89
2451,JAQDX,23.41
2452,MYISX,26.1
2453,OGEAX,22.05
2454,ERBAX,24.14
2455,GRMCX,22.05
2456,GRMRX,22.05
2457,TGVFX,21.13
2458,PGSGX,27.68
2459,RWMGX,23.2
2460,TIBAX,22.31
2461,TVFMX,22.17
2462,LCEAX,25.13
2463,PEYAX,24.66
2464,CNPSX,23.58
2465,JDESX,21.59
2466,SWNRX,22.71
2467,PCBIX,23.04
2468,HBLAX,25.26
2469,TRAMX,26.82
2470,JRTTX,23.29
2471,JGACX,21.28
2472,GABOX,28.82
2473,CCRZX,21.76
2474,GSYRX,26.01
2475,PRSGX,23.54
2476,JRSTX,23.53
2477,IIGPX,24.82
2478,JBBSX,23.79
2479,WSTYX,21.75
2480,NUGIX,21.36
2481,S3293.MC,23.14
2482,REREX,24.1
2483,MIPIX,22.61
2484,SSIQX,22.15
2485,TASCX,32.81
2486,MTRAX,24.02
2487,JPPIX,24.85
2488,VTTSX,23.32
2489,VWINX,24.7
2490,RESIX,24.79
2491,JAQTX,23.41
2492,JRLGX,24.54
2493,WAIGX,23.75
2494,PTDMX,23.02
2495,MFWIX,22.83
2496,FITRX,24.16
2497,MCGFX,20.4
2498,VTRIX,23.21
2499,PSSJX,28.1
2500,SWLSX,20.71
2501,PXSGX,22.31
2502,GTDYX,25.06
2503,WGGNX,20.33
2504,FSEAX,24.31
2505,LMASX,26.67
2506,HHEVF.AS,21.78
2507,OIBFX,23.16
2508,MSSFX,28.37
2509,MIECX,19.0
2510,RSLCX,26.16
2511,AAIPX,22.7
2512,OEGAX,22.71
2513,DGFYX,22.91
2514,RGGAX,23.47
2515,JCAVX,24.47
2516,AKRIX,17.95
2517,INFIX,30.4
2518,PGVFX,22.01
2519,VIGAX,20.54
2520,DFUKX,22.67
2521,S3103.MC,24.69
2522,JFFIX,22.26
2523,TVVIX,23.53
2524,THCGX,26.23
2525,MGAFX,21.58
2526,DGAGX,20.92
2527,CAMOX,23.9
2528,TMCPX,24.64
2529,JIGFX,22.61
2530,AROAX,23.04
2531,NLSCX,23.09
2532,MPILX,22.46
2533,DPREX,24.72
2534,FZAPX,22.99
2535,AYBLX,22.19
2536,FARCX,16.07
2537,BBISX,23.46
2538,FDCAX,23.31
2539,VFFVX,23.32
2540,OPGSX,38.17
2541,WCPIX,22.83
2542,IMLAX,23.34
2543,BMEAX,25.42
2544,PTDPX,23.02
2545,PREFX,21.11
2546,CSGYX,28.59
2547,DFGFX,17.1
2548,DSGCX,27.67
2549,MSARX,24.81
2550,SPSAX,28.13
2551,CNWFX,25.24
2552,ATWYX,22.66
2553,RRGCX,15.97
2554,IEOHX,21.43
2555,IVCSX,27.4
2556,OPMNX,22.77
2557,IWPVX,23.92
2558,IIRGX,22.79
2559,FBDIX,30.1
2560,SCIUX,22.64
2561,QFVIX,21.95
2562,YAFIX,22.51
2563,PBEAX,23.26
2564,JEEFX,25.78
2565,MMUFX,29.17
2566,FTCHX,20.32
2567,AWAYX,22.63
2568,HWCAX,25.33
2569,ATNNX,21.57
2570,KOF1.F,27.74
2571,PHSYX,25.87
2572,TWUIX,21.51
2573,MOSAX,21.67
2574,BIPIX,23.69
2575,MFEBX,23.87
2576,IJSIX,26.88
2577,PRGIX,23.19
2578,ARWOX,23.25
2579,JWWFX,22.33
2580,SMVTX,23.2
2581,LAGWX,28.79
2582,JVLTX,23.27
2583,EACPX,20.65
2584,RYEAX,35.21
2585,DPRRX,24.72
2586,RERAX,24.1
2587,EMGNX,24.48
2588,VTSAX,22.77
2589,USMIX,26.37
2590,RYFAX,21.12
2591,DWGAX,26.43
2592,VWNFX,23.33
2593,SUVCX,24.2
2594,IWRFX,31.74
2595,PGNBX,23.2
2596,IEMFX,24.2
2597,PTDIX,23.02
2598,HFEAX,21.65
2599,MPEGX,22.52
2600,NRCFX,15.59
2601,TMLCX,22.0
2602,FFFEX,23.76
2603,FIDCX,25.01
2604,SPXKX,22.05
2605,PCSSX,23.16
2606,MNDCX,25.22
2607,TCLFX,23.58
2608,GSCZX,28.25
2609,USSCX,24.75
2610,SILVX,20.25
2611,S3673.MC,23.57
2612,NCBGX,22.31
2613,ISFAX,26.52
2614,JUECX,21.79
2615,S3438.MC,23.1
2616,CSVFX,21.93
2617,TEMMX,27.09
2618,JGDAX,25.1
2619,S3052.MC,22.55
2620,UGOFX,21.21
2621,PJORX,23.51
2622,DSCVX,28.71
2623,GGGIX,19.76
2624,FEDTX,27.63
2625,NBPTX,28.59
2626,RAFEX,22.86
2627,FMILX,26.17
2628,AIBLX,23.1
2629,GQLOX,20.81
2630,EACVX,24.57
2631,HWLAX,25.54
2632,FRSLX,23.77
2633,TISEX,28.61
2634,TSALX,22.83
2635,POAGX,25.21
2636,HACCX,23.6
2637,FIVQX,23.7
2638,HGHIX,27.92
2639,DPRIX,20.69
2640,WMMCX,31.14
2641,POVSX,20.67
2642,MIDLX,23.68
2643,JGRTX,22.5
2644,RSNYX,41.21
2645,PRISX,25.74
2646,HQIYX,24.26
2647,PSBSX,28.59
2648,GIGAX,23.0
2649,FBSOX,19.0
2650,SDVGX,22.06
2651,ZKRS.SW,29.78
2652,JDBAX,21.26
2653,OTCFX,28.53
2654,PROAX,23.32
2655,FSHCX,21.07
2656,LTSGX,23.67
2657,ROLG.AS,19.46
2658,FXIFX,23.14
2659,MSAVX,24.81
2660,NQCCX,24.53
2661,MLTCX,23.07
2662,PTCSX,23.29
2663,TVRVX,18.13
2664,BOPCX,21.41
2665,TCRIX,23.4
2666,WTTRX,24.53
2667,CUSIX,26.83
2668,BIBDX,21.33
2669,FESGX,22.97
2670,GOLD5+A.MX,22.96
2671,JRIQX,23.23
2672,JFEAX,23.87
2673,PPGRX,21.22
2674,PRFEX,23.79
2675,UDPIX,24.11
2676,QSMLX,27.94
2677,WFGGX,22.09
2678,DRIPX,24.57
2679,EMICX,20.08
2680,MVCJX,24.57
2681,RCEYX,24.14
2682,AIVSX,23.49
2683,FRBRX,30.1
2684,RPMIX,26.85
2685,RYOAX,28.05
2686,NSVAX,29.73
2687,GABUX,31.89
2688,DFEMX,27.37
2689,BRGPX,23.27
2690,QIVAX,21.12
2691,SLASX,22.45
2692,ETFOX,23.77
2693,GFFFX,23.63
2694,JSVDX,28.26
2695,CISGX,21.59
2696,NINDX,22.05
2697,GHAAX,32.7
2698,VEUPX,21.64
2699,LSSCX,27.92
2700,MLRTX,20.01
2701,AUIRX,21.71
2702,BIAWX,20.3
2703,PAGRX,24.71
2704,POICX,22.95
2705,NGQAX,21.79
2706,POGRX,24.9
2707,DFUSX,22.05
2708,MTSMX,22.75
2709,GIFFX,24.77
2710,CAAAX,22.52
2711,TCWCX,26.23
2712,TLVIX,23.59
2713,NWJDX,20.33
2714,DEUCX,20.29
2715,HCKAX,22.95
2716,FIIAX,24.06
2717,JSSM.SW,24.96
2718,PHLCX,29.13
2719,DODGX,22.36
2720,OSTFX,21.06
2721,VRGWX,20.69
2722,HIOCX,21.67
2723,RTSSX,26.17
2724,NAESX,26.39
2725,PQSAX,28.63
2726,JNVSX,20.36
2727,INVEXTKA.MX,24.65
2728,FSJHX,22.99
2729,ATSNX,29.04
2730,VIGIX,20.54
2731,RTIYX,22.9
2732,HICSX,23.86
2733,RYTFX,27.45
2734,BAFHX,22.31
2735,MEDRX,26.46
2736,NMFIX,24.48
2737,TVVAX,23.53
2738,OEGNX,22.71
2739,MXMDX,25.03
2740,GSRLX,22.88
2741,FLVCX,23.44
2742,VMCVX,25.72
2743,ABPYX,23.23
2744,EQTIX,22.76
2745,FLMVX,23.62
2746,JENHX,23.45
2747,AROIX,23.04
2748,DBMYX,25.75
2749,RCGHX,27.05
